::1 - Wed Nov 24 2021 08:17:04 GMT+0530 (India Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 304 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:17:04 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 304 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:17:15 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 - - 55 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:17:15 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 6 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:17:15 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 304 - - 3 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:17:15 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 304 - - 10 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:17:15 GMT+0530 (India Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 304 - - 7 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:17:15 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 304 - - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:17:15 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 304 - - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
::1 - Wed Nov 24 2021 08:23:03 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 - - 190 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
